key,name
web_dev,Développement web
mobile_dev,Développement mobile
game_dev,Développement de jeux vidéo
ui_ux,UI / UX Design
data_science,Data Science
data_engineering,Data Engineering
cloud_devops,Cloud & DevOps
cybersecurity,Cybersécurité
ai_ml,IA / Machine Learning
marketing,Marketing digital
seo,SEO / Référencement
content_writing,Rédaction de contenu
copywriting,Copywriting
community_management,Community management
communication,Communication
brand_design,Brand design & identité
graphic_design,Design graphique
illustration,Illustration
motion_design,Motion design
photographie,Photographie
video,Vidéo / Montage
audio_podcast,Audio / Podcast
traduction,Traduction / Localisation
product_management,Product Management
project_management,Gestion de projet
finance_compta,Finance & Comptabilité
legal,Juridique
hr_recrutement,RH & Recrutement
formation_coaching,Formation & Coaching
evenementiel,Événementiel
immobilier,Immobilier
artisanat_batiment,Artisanat & Bâtiment
e_commerce,E-commerce
no_code,No-code / Low-code
web3,Web3 / Blockchain
sante_bien_etre,Santé & Bien-être
social_media_ads,Publicité Réseaux Sociaux
crm,CRM & Automatisation
